object_id,source_name,source_db_name,source_schema_name,source_table_name,source_created_date_column,target_created_date_column,source_modified_date_column,target_modified_date_column,source_primary_key,target_primary_key,required_columns,source_extract_strategy,is_active,sink_name,sink_schema_name,sink_object_name,sink_strategy
1,SQL Server,DatabaseProd,dbo,ApplicationObjectType,CreateDate,create_date,ModifyDate,modify_date,ApplicationObjectTypeId,application_object_type_id,,Incremental,1,lh_raw,etrac_keters,application_object_type,Append
2,SQL Server,DatabaseProd,dbo,Client,CreateDate,create_date,ModifyDate,modify_date,ClientId,client_id,,Incremental,1,lh_raw,etrac_keters,client,Append
3,SQL Server,DatabaseProd,dbo,ClientAddress,CreateDate,create_date,ModifyDate,modify_date,ClientAddressId,client_address_id,,Incremental,1,lh_raw,etrac_keters,client_address,Append
4,SQL Server,DatabaseProd,dbo,Equipment,CreateDate,create_date,ModifyDate,modify_date,EquipmentId,equipment_id,,Incremental,1,lh_raw,etrac_keters,equipment,Append
5,SQL Server,DatabaseProd,dbo,EquipmentOwnership,CreateDate,create_date,ModifyDate,modify_date,EquipmentOwnershipId,equipment_ownership_id,,Incremental,1,lh_raw,etrac_keters,equipment_ownership,Append
6,SQL Server,DatabaseProd,dbo,Event,CreateDate,create_date,ModifyDate,modify_date,EventId,event_id,,Incremental,1,lh_raw,etrac_keters,event,Append
7,SQL Server,DatabaseProd,dbo,PricingAssignment,CreateDate,create_date,ModifyDate,modify_date,PricingAssignmentId,pricing_assignment_id,,Incremental,1,lh_raw,etrac_keters,pricing_assignment,Append
8,SQL Server,DatabaseProd,dbo,PricingHaulerPackage,CreateDate,create_date,ModifyDate,modify_date,PricingHaulerPackageId,pricing_hauler_package_id,,Incremental,1,lh_raw,etrac_keters,pricing_hauler_package,Append
9,SQL Server,DatabaseProd,dbo,PricingHaulerPackageRate,CreateDate,create_date,ModifyDate,modify_date,PricingHaulerPackageRateId,pricing_hauler_package_rate_id,,Incremental,1,lh_raw,etrac_keters,pricing_hauler_package_rate,Append
10,SQL Server,DatabaseProd,dbo,Property,CreateDate,create_date,ModifyDate,modify_date,PropertyId,property_id,,Incremental,1,lh_raw,etrac_keters,property,Append
